techniqueID,technique_name,tactic,score,is_subtechnique,atomic_link
T1010,Application Window Discovery,discovery,4,False,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1010/T1010.md
T1012,Query Registry,discovery,4,False,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1012/T1012.md
T1021.002,SMB/Windows Admin Shares,lateral-movement,4,True,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1021.002/T1021.002.md
T1021.004,SSH,lateral-movement,4,True,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1021.004/T1021.004.md
T1027.002,Software Packing,defense-evasion,4,True,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1027.002/T1027.002.md
T1027.007,Dynamic API Resolution,defense-evasion,4,True,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1027.007/T1027.007.md
T1027.009,Embedded Payloads,defense-evasion,4,True,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1027.009/T1027.009.md
T1027.013,Encrypted/Encoded File,defense-evasion,4,True,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1027.013/T1027.013.md
T1033,System Owner/User Discovery,discovery,4,False,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1033/T1033.md
T1036.003,Rename Legitimate Utilities,defense-evasion,4,True,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1036.003/T1036.003.md
T1036.004,Masquerade Task or Service,defense-evasion,4,True,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1036.004/T1036.004.md
T1036.008,Masquerade File Type,defense-evasion,4,True,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1036.008/T1036.008.md
T1041,Exfiltration Over C2 Channel,exfiltration,4,False,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1041/T1041.md
T1046,Network Service Discovery,discovery,4,False,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1046/T1046.md
T1048.003,Exfiltration Over Unencrypted Non-C2 Protocol,exfiltration,4,True,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1048.003/T1048.003.md
T1055.001,Dynamic-link Library Injection,defense-evasion,4,True,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1055.001/T1055.001.md
T1055.001,Dynamic-link Library Injection,privilege-escalation,4,True,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1055.001/T1055.001.md
T1059.003,Windows Command Shell,execution,4,True,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1059.003/T1059.003.md
T1070.003,Clear Command History,defense-evasion,4,True,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1070.003/T1070.003.md
T1070.004,File Deletion,defense-evasion,4,True,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1070.004/T1070.004.md
T1070.006,Timestomp,defense-evasion,4,True,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1070.006/T1070.006.md
T1074.001,Local Data Staging,collection,4,True,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1074.001/T1074.001.md
